org_id,pwsid,is_multiple_pwsid,supplier_name,uwmp_year,forecast_start_date,forecast_end_date,water_use_acre_feet,water_supplies_acre_feet,benefit_supply_augmentation_acre_feet,benefit_demand_reduction_acre_feet
495,CA5610024,FALSE,casitas municipal water district,2020,2021-01-01,2021-12-31,14525,10626,0,3899
1050,CA5610014,FALSE,casitas municipal water district - ojai,2020,2021-01-01,2021-12-31,1850,1663,NA,187
510,NA,NA,central basin municipal water district,2020,2021-01-01,2021-12-31,259143,308033,0,0
514,NA,NA,central coast water authority,2020,2021-01-01,2021-12-31,4838,4838,0,0
522,CA5010028,FALSE,ceres  city of,2020,2021-01-01,2021-12-31,2636,3258,NA,NA
524,CA1910019,FALSE,cerritos  city of,2020,2021-01-01,2021-12-31,11302,11232,0,70
545,CA3610012,FALSE,chino  city of,2020,2021-01-01,2021-12-31,24180,23877,0,303
546,NA,NA,chino basin desalter authority,2020,2021-01-01,2021-12-31,40000,40000,0,0
547,CA3610036,FALSE,chino hills  city of,2020,2021-01-01,2021-12-31,16166,29526,NA,NA
2979,CA2010001,FALSE,"chowchilla, city of water department",2020,2021-01-01,2021-12-31,876,3532,NA,NA
561,CA3410006,FALSE,citrus heights water district,2020,2021-01-01,2021-12-31,9876,9876,NA,NA
572,CA4910002,FALSE,cloverdale  city of,2020,2021-01-01,2021-12-31,414,385,NA,62
574,CA1010003,FALSE,clovis  city of,2020,2021-01-01,2021-12-31,31443,41809,0,1275
575,CA3310007,FALSE,coachella  city of,2020,2021-01-01,2021-12-31,7947,7947,NA,NA
577,"CA3310001, CA3310048, CA1310011",TRUE,coachella valley water district,2020,2021-01-01,2021-12-31,114862,114862,NA,NA
578,CA1010004,FALSE,coalinga  city of,2020,2021-01-01,2021-12-31,1365,1609,NA,NA
583,CA4110011,FALSE,coastside county water district,2020,2021-01-01,2021-12-31,692,770,0,0
596,CA3610014,FALSE,colton  city of,2020,2021-01-01,2021-12-31,10282,11824,NA,NA
607,CA1910026,FALSE,compton  city of,2020,2021-01-01,2021-12-31,6969,7580,NA,NA
613,CA0710003,FALSE,contra costa water district,2020,2021-01-01,2021-12-31,126300,159700,NA,NA
618,CA1610004,FALSE,corcoran  city of,2020,2021-01-01,2021-12-31,6631,6937,NA,NA
624,CA3310037,FALSE,corona  city of,2020,2021-01-01,2021-12-31,38858,43955,NA,NA
644,CA1910127,FALSE,covina  city of,2020,2021-01-01,2021-12-31,5723,5677,0,46
649,CA0810001,FALSE,crescent city,2020,2021-01-01,2021-12-31,815,815,NA,NA
651,CA1910028,FALSE,crescenta valley community water district,2020,2021-01-01,2021-12-31,3929,5741,0,0
654,CA3610015,FALSE,crestline village water district,2020,2021-01-01,2021-12-31,312837,318427,NA,NA
664,CA3610018,FALSE,cucamonga valley water district,2020,2021-01-01,2021-12-31,51163,52114,0,0
673,CA4110013,FALSE,daly city,2020,2021-01-01,2021-12-31,2104,2712,NA,NA
678,CA5710001,FALSE,davis  city of,2020,2021-01-01,2021-12-31,12453,19762,NA,NA
699,CA0410011,FALSE,del oro water company,2020,2021-01-01,2021-12-31,370239,593786,NA,NA
711,CA1510005,FALSE,delano  city of,2020,2021-01-01,2021-12-31,13086,13086,0,0
727,CA3310005,FALSE,desert water agency,2020,2021-01-01,2021-12-31,37413,37413,NA,NA
731,CA0710007,FALSE,diablo water district,2020,2021-01-01,2021-12-31,2200,3114,NA,NA
737,CA5410002,FALSE,dinuba  city of,2020,2021-01-01,2021-12-31,1715,1715,0,0
739,CA0710009,FALSE,discovery bay community services district,2020,2021-01-01,2021-12-31,1125,2500,NA,NA
2998,CA4810009,FALSE,dixon  city of,2020,2021-01-01,2021-12-31,704,704,NA,NA
748,CA1910034,FALSE,downey  city of,2020,2021-01-01,2021-12-31,16751,16886,0,0
759,CA0110009,FALSE,dublin san ramon services district,2020,2021-01-01,2021-12-31,13707,13707,NA,NA
775,CA0110005,FALSE,east bay municipal utility district,2020,2021-01-01,2021-12-31,66065,66065,NA,NA
784,CA1510006,FALSE,east niles community services district,2020,2021-01-01,2021-12-31,8027,8027,0,0
785,CA3010068,FALSE,east orange county water district,2020,2021-01-01,2021-12-31,859,859,0,0
787,CA4110024,FALSE,east palo alto  city of,2020,2021-01-01,2021-12-31,614,614,0,0
793,CA3610064,FALSE,east valley water district,2020,2021-01-01,2021-12-31,20503,23579,NA,NA
794,CA3310009,FALSE,eastern municipal water district,2020,2021-01-01,2021-12-31,177900,177900,NA,NA
814,CA1310004,FALSE,el centro  city of,2020,2021-01-01,2021-12-31,7186,7186,0,0
816,"CA0910018, CA0910017, CA0910001",TRUE,el dorado irrigation district,2020,2021-01-01,2021-12-31,38380,63400,NA,NA
821,CA1910038,FALSE,el monte  city of,2020,2021-01-01,2021-12-31,2618,2618,NA,NA
827,CA1910040,FALSE,el segundo  city of,2020,2021-01-01,2021-12-31,5462,5314,148,NA
830,CA3010079,FALSE,el toro water district,2020,2021-01-01,2021-12-31,9262,9262,0,0
835,CA3410008,FALSE,elk grove water district,2020,2021-01-01,2021-12-31,7150,13000,NA,NA
842,CA3310012,FALSE,elsinore valley municipal water district,2020,2021-01-01,2021-12-31,24776,34286,NA,NA
851,CA3710006,FALSE,escondido  city of,2020,2021-01-01,2021-12-31,22778,22778,0,0
856,CA4110021,FALSE,estero municipal improvement district,2020,2021-01-01,2021-12-31,1595,1635,0,0
859,CA1210004,FALSE,eureka  city of,2020,2021-01-01,2021-12-31,994,2555,NA,NA
866,CA3410009,FALSE,fair oaks water district,2020,2021-01-01,2021-12-31,10716,23718,NA,NA
867,CA4810003,FALSE,fairfield  city of,2020,2021-01-01,2021-12-31,6868,11857,NA,NA
873,CA3710008,FALSE,fallbrook public utility district,2020,2021-01-01,2021-12-31,9972,9972,NA,NA
890,CA5610002,FALSE,fillmore  city of,2020,2021-01-01,2021-12-31,1906,3841,NA,NA
904,"CA3410030, CA3410014",TRUE,folsom  city of,2020,2021-01-01,2021-12-31,20022,36600,NA,NA
909,NA,NA,foothill municipal water district,2020,2021-01-01,2021-12-31,8685,11773,0,0
920,CA1210006,FALSE,fortuna  city of,2020,2021-01-01,2021-12-31,433,433,NA,NA
924,CA3010069,FALSE,fountain valley  city of,2020,2021-01-01,2021-12-31,10487,10487,0,0
934,CA1010007,FALSE,fresno  city of,2020,2021-01-01,2021-12-31,184910,240905,0,0
967,CA3010010,FALSE,fullerton  city of,2020,2021-01-01,2021-12-31,25620,25620,0,0
972,CA3410011,FALSE,galt  city of,2020,2021-01-01,2021-12-31,5459,5459,NA,NA
977,CA3010062,FALSE,garden grove  city of,2020,2021-01-01,2021-12-31,23427,23427,0,0
990,CA0910013,FALSE,georgetown divide public utility district,2020,2021-01-01,2021-12-31,9200,11890,0,3457
995,CA4310004,FALSE,gilroy  city of,2020,2021-01-01,2021-12-31,9507,18517,NA,NA
1004,CA1910043,FALSE,glendale  city of,2020,2021-01-01,2021-12-31,21415,26178,0,0
1005,CA1910044,FALSE,glendora  city of,2020,2021-01-01,2021-12-31,12273,12042,0,231
1029,CA1910004,FALSE,golden state water company - artesia,2020,2021-01-01,2021-12-31,5582,5582,NA,NA
1030,CA1910004,FALSE,golden state water company - barstow,2020,2021-01-01,2021-12-31,5362,20170,NA,NA
1031,CA0710002,FALSE,golden state water company - bay point,2020,2021-01-01,2021-12-31,1925,1925,NA,NA
1032,CA1910011,FALSE,golden state water company - bell-bell gardens,2020,2021-01-01,2021-12-31,5072,5072,NA,NA
1034,CA1910024,FALSE,golden state water company - claremont,2020,2021-01-01,2021-12-31,11865,10685,0,1180
1036,CA3410015,FALSE,golden state water company - cordova,2020,2021-01-01,2021-12-31,14670,14670,NA,NA
1038,CA1910030,FALSE,golden state water company - culver city,2020,2021-01-01,2021-12-31,5431,5431,NA,NA
1041,CA1910077,FALSE,golden state water company - florence graham,2020,2021-01-01,2021-12-31,5240,5240,NA,NA
1049,CA1910098,FALSE,golden state water company - norwalk,2020,2021-01-01,2021-12-31,4799,4799,NA,NA
1052,CA4210016,FALSE,golden state water company - orcutt,2020,2021-01-01,2021-12-31,6576,6576,NA,NA
1053,CA3010035,FALSE,golden state water company - placentia,2020,2021-01-01,2021-12-31,7300,7300,NA,NA
1054,CA1910142,FALSE,golden state water company - san dimas,2020,2021-01-01,2021-12-31,11344,11505,0,0
1057,CA5610059,FALSE,golden state water company - simi valley,2020,2021-01-01,2021-12-31,6559,6559,NA,NA
1058,CA1910212,FALSE,golden state water company - south arcadia,2020,2021-01-01,2021-12-31,3321,3321,NA,NA
1059,CA1910223,FALSE,golden state water company - south san gabriel,2020,2021-01-01,2021-12-31,2613,2613,NA,NA
1060,CA1910155,FALSE,golden state water company - southwest,2020,2021-01-01,2021-12-31,29279,29279,NA,NA
1062,CA3010022,FALSE,golden state water company - west orange,2020,2021-01-01,2021-12-31,15217,15217,NA,NA
1068,CA4210004,FALSE,goleta water district,2020,2021-01-01,2021-12-31,12104,16329,0,0
1083,CA4310022,FALSE,great oaks water company incorporated,2020,2021-01-01,2021-12-31,3363,3628,NA,NA
1094,CA1510024,FALSE,greenfield county water district,2020,2021-01-01,2021-12-31,2592,9722,NA,NA
1109,CA5510009,FALSE,groveland community services district,2020,2021-01-01,2021-12-31,170,164,NA,6
1110,CA4010004,FALSE,grover beach  city of,2020,2021-01-01,2021-12-31,1305,1305,NA,NA
1125,CA1610003,FALSE,hanford  city of,2020,2021-01-01,2021-12-31,12502,15004,NA,NA
1142,CA1910047,FALSE,hawthorne  city of,2020,2021-01-01,2021-12-31,4045,4045,NA,NA
1143,CA0110006,FALSE,hayward  city of,2020,2021-01-01,2021-12-31,5717,5717,NA,NA
1144,CA4910005,FALSE,healdsburg  city of,2020,2021-01-01,2021-12-31,675,708,NA,NA
1154,CA3710010,FALSE,helix water district,2020,2021-01-01,2021-12-31,31620,39911,NA,NA
1157,CA3310016,FALSE,hemet  city of,2020,2021-01-01,2021-12-31,4386,4325,0,61
1166,CA3610024,FALSE,hesperia water district,2020,2021-01-01,2021-12-31,14560,14560,NA,NA
1167,CA3610073,FALSE,hi desert water district,2020,2021-01-01,2021-12-31,2969,2969,NA,NA
1181,CA4110016,FALSE,hillsborough  town of,2020,2021-01-01,2021-12-31,2878,3304,NA,NA
1188,CA3510001,FALSE,hollister  city of,2020,2021-01-01,2021-12-31,6694,6025,0,669
1209,NA,NA,humboldt bay municipal water district,2020,2021-01-01,2021-12-31,8632,80000,NA,NA
1210,CA1210009,FALSE,humboldt community services district,2020,2021-01-01,2021-12-31,712,1235,NA,NA
1215,CA3010053,FALSE,huntington beach  city of,2020,2021-01-01,2021-12-31,27616,27616,0,0
1217,CA1910049,FALSE,huntington park  city of,2020,2021-01-01,2021-12-31,4667,5100,0,467
1225,CA1310006,FALSE,imperial  city of,2020,2021-01-01,2021-12-31,1059,1059,0,106
1234,CA1510017,FALSE,indian wells valley water district,2020,2021-01-01,2021-12-31,6770,20000,NA,NA
1236,CA3310020,FALSE,indio  city of,2020,2021-01-01,2021-12-31,20898,20898,NA,NA
1238,CA1910051,FALSE,inglewood  city of,2020,2021-01-01,2021-12-31,11217,14250,NA,NA
1239,NA,NA,inland empire utilities agency,2020,2021-01-01,2021-12-31,100497,148650,0,0
1245,CA3010092,FALSE,irvine ranch water district,2020,2021-01-01,2021-12-31,88340,156703,NA,NA
1270,CA3610025,FALSE,joshua basin water district,2020,2021-01-01,2021-12-31,1174,1174,NA,NA
1273,CA3310021,FALSE,jurupa community service district,2020,2021-01-01,2021-12-31,30039,30039,NA,NA
1286,CA1010018,FALSE,kerman  city of,2020,2021-01-01,2021-12-31,1025,890,NA,135
1288,NA,NA,kern county water agency improvement district no 4,2020,2021-01-01,2021-12-31,62575,59593,2982,NA
1324,CA3010018,FALSE,la habra  city of,2020,2021-01-01,2021-12-31,9162,9162,0,0
1327,CA3010100,FALSE,la palma  city of,2020,2021-01-01,2021-12-31,2058,2058,0,0
1333,CA1910062,FALSE,la verne  city of,2020,2021-01-01,2021-12-31,6611,7401,0,0
1335,CA3010017,FALSE,laguna beach county water district,2020,2021-01-01,2021-12-31,3789,3789,NA,NA
1343,CA3610005,FALSE,lake arrowhead community services district,2020,2021-01-01,2021-12-31,1699,2886,0,73
1352,CA3310022,FALSE,lake hemet municipal water district,2020,2021-01-01,2021-12-31,13842,13842,0,692
1368,CA3710013,FALSE,lakeside water district,2020,2021-01-01,2021-12-31,3472,3472,NA,NA
1370,CA1910239,FALSE,lakewood  city of,2020,2021-01-01,2021-12-31,7190,9882,0,0
1371,CA1510012,FALSE,lamont public utility district,2020,2021-01-01,2021-12-31,1261,2221,NA,NA
1384,CA1910225,FALSE,las virgenes municipal water district,2020,2021-01-01,2021-12-31,25322,25322,NA,NA
1388,CA3910015,FALSE,lathrop  city of,2020,2021-01-01,2021-12-31,6545,11607,0,0
1869,"CA1910021, CA1910161, CA1910211",TRUE,liberty utilities (park water) corp,2020,2021-01-01,2021-12-31,11991,11837,0,154
1424,CA3110004,FALSE,lincoln  city of,2020,2021-01-01,2021-12-31,13450,13450,NA,NA
1425,CA1910063,FALSE,lincoln avenue water company,2020,2021-01-01,2021-12-31,2043,3633,0,0
1427,CA5810002,FALSE,linda county water district,2020,2021-01-01,2021-12-31,3691,16290,2420,370
1432,CA5410006,FALSE,lindsay  city of,2020,2021-01-01,2021-12-31,2334,2334,NA,NA
1443,CA0110001,FALSE,livermore  city of,2020,2021-01-01,2021-12-31,2135,2135,0,0
1444,CA5010013,FALSE,livingston  city of,2020,2021-01-01,2021-12-31,2831,2979,NA,NA
1450,CA3910004,FALSE,lodi  city of,2020,2021-01-01,2021-12-31,14116,18000,0,0
1452,CA3610013,FALSE,loma linda  city of,2020,2021-01-01,2021-12-31,5807,6678,NA,NA
1456,CA1910073,FALSE,lomita  city of,2020,2021-01-01,2021-12-31,2288,4000,0,229
1459,CA4210006,FALSE,lompoc  city of,2020,2021-01-01,2021-12-31,4398,12454,0,0
1464,CA1910065,FALSE,long beach  city of,2020,2021-01-01,2021-12-31,53854,79426,NA,NA
1473,CA1910067,FALSE,los angeles city department of water and power,2020,2021-01-01,2021-12-31,645900,645900,NA,NA
1481,CA1910204,FALSE,los angeles county waterworks district 29 - malibu & marina del rey,2020,2021-01-01,2021-12-31,8621,7933,NA,688
1484,"CA1910070, CA1910027, CA1910005, CA1910025, CA1910203",TRUE,los angeles county waterworks district 40 - antelope valley,2020,2021-01-01,2021-12-31,47977,70457,NA,NA
1487,CA2410005,FALSE,los banos  city of,2020,2021-01-01,2021-12-31,8315,8315,0,0
1506,CA1910079,FALSE,lynwood  city of,2020,2021-01-01,2021-12-31,5495,7942,NA,NA
1510,CA2010002,FALSE,madera  city of,2020,2021-01-01,2021-12-31,9977,9977,0,1037
1533,CA2610001,FALSE,mammoth community water district,2020,2021-01-01,2021-12-31,2279,1989,NA,456
1536,CA1910083,FALSE,manhattan beach  city of,2020,2021-01-01,2021-12-31,5905,5827,0,78
1539,CA3910005,FALSE,manteca  city of,2020,2021-01-01,2021-12-31,15511,18276,NA,NA
1546,CA2110003,FALSE,marin municipal water district,2020,2021-01-01,2021-12-31,34329,79556,0,0
1547,"CA2710017, CA2790009",TRUE,marina coast water district,2020,2021-01-01,2021-12-31,3535,10900,0,0
1554,CA0710006,FALSE,martinez  city of,2020,2021-01-01,2021-12-31,4697,4697,NA,NA
3056,CA1510013,FALSE,mcfarland  city of,2020,2021-01-01,2021-12-31,515,1235,NA,NA
1570,CA,FALSE,mckinleyville community services district,2020,2021-01-01,2021-12-31,452,949,0,0
1587,CA4110017,FALSE,menlo park  city of,2020,2021-01-01,2021-12-31,1095,1095,0,0
1589,CA2410009,FALSE,merced  city of,2020,2021-01-01,2021-12-31,24754,24754,NA,NA
1596,CA3010004,FALSE,mesa water district,2020,2021-01-01,2021-12-31,18182,18182,0,0
1599,NA,NA,metropolitan water district of southern california,2020,2021-01-01,2021-12-31,1596000,1164000,432000,0
1605,CA4110001,FALSE,mid-peninsula water district,2020,2021-01-01,2021-12-31,967,967,NA,NA
1613,CA4110018,FALSE,millbrae  city of,2020,2021-01-01,2021-12-31,712,712,0,42
1619,CA4310005,FALSE,milpitas  city of,2020,2021-01-01,2021-12-31,3710,3592,0,0
1626,"CA3310078, CA3310008, CA3310081",TRUE,mission springs water district,2020,2021-01-01,2021-12-31,8414,8414,NA,NA
1631,"CA5010023, CA5010034, CA5010029, CA5010033, CA5010031, CA5010005, CA5010010, CA5010035",TRUE,modesto  city of,2020,2021-01-01,2021-12-31,55216,81904,NA,NA
1632,NA,NA,modesto irrigation district,2020,2021-01-01,2021-12-31,30404,30404,NA,NA
1635,NA,NA,mojave water agency,2020,2021-01-01,2021-12-31,129600,136583,NA,NA
1639,CA1910090,FALSE,monrovia  city of,2020,2021-01-01,2021-12-31,7311,7261,0,50
1642,CA3610029,FALSE,monte vista water district,2020,2021-01-01,2021-12-31,15997,15133,0,864
1644,CA1910091,FALSE,montebello land and water company,2020,2021-01-01,2021-12-31,2946,3803,NA,NA
1645,CA4210007,FALSE,montecito water district,2020,2021-01-01,2021-12-31,4840,4358,482,NA
1650,CA1910092,FALSE,monterey park  city of,2020,2021-01-01,2021-12-31,8891,8791,0,100
1656,CA4310006,FALSE,morgan hill  city of,2020,2021-01-01,2021-12-31,8022,19344,NA,NA
1660,CA4010011,FALSE,morro bay  city of,2020,2021-01-01,2021-12-31,1138,3151,0,0
1663,CA3010073,FALSE,moulton niguel water district,2020,2021-01-01,2021-12-31,30104,30104,NA,NA
4231,CA3910027,FALSE,mountain house community services district,2020,2021-01-01,2021-12-31,4918,4918,NA,NA
1671,CA4310007,FALSE,mountain view  city of,2020,2021-01-01,2021-12-31,10737,10737,0,0
1684,NA,NA,municipal water district of orange county (mwdoc),2020,2021-01-01,2021-12-31,172611,172611,0,0
1697,CA3310051,FALSE,myoma dunes mutual water company,2020,2021-01-01,2021-12-31,4065,4065,NA,NA
1701,CA2810003,FALSE,napa  city of,2020,2021-01-01,2021-12-31,14741,14228,NA,513
1718,"CA2910004, CA2910014, CA2910023, CA2910006, CA3110026, CA5810005",TRUE,nevada irrigation district,2020,2021-01-01,2021-12-31,180085,179143,NA,942
1729,CA5010013,FALSE,newman  city of,2020,2021-01-01,2021-12-31,783,973,NA,0
1730,CA3010023,FALSE,newport beach  city of,2020,2021-01-01,2021-12-31,15876,15876,0,0
1731,CA4010026,FALSE,nipomo community service district,2020,2021-01-01,2021-12-31,2062,2267,NA,NA
1732,CA3310025,FALSE,norco  city of,2020,2021-01-01,2021-12-31,6500,14400,NA,NA
1739,CA4110025,FALSE,north coast county water district,2020,2021-01-01,2021-12-31,849.18,950.27,0,0
1748,CA2110003,FALSE,north marin water district,2020,2021-01-01,2021-12-31,9318,15913,0,0
1752,"CA3110036, CA3110001, CA3110023",TRUE,north tahoe public utilities district,2020,2021-01-01,2021-12-31,370,370,NA,NA
1756,CA1910191,FALSE,norwalk  city of,2020,2021-01-01,2021-12-31,2064,3694,0,0
1765,CA5010014,FALSE,oakdale  city of,2020,2021-01-01,2021-12-31,8019,8019,NA,NA
1777,CA3710014,FALSE,oceanside  city of,2020,2021-01-01,2021-12-31,26149,26149,0,0
1782,CA1510015,FALSE,oildale mutual water company,2020,2021-01-01,2021-12-31,9563.8,23500,NA,NA
1792,"CA5810003, CA5805001",TRUE,olivehurst public utilities district,2020,2021-01-01,2021-12-31,1456,6544,NA,NA
1793,CA3710029,FALSE,olivenhain municipal water district,2020,2021-01-01,2021-12-31,19224,19224,NA,NA
1795,CA3610034,FALSE,ontario  city of,2020,2021-01-01,2021-12-31,45299,42603,0,2696
1797,CA3010027,FALSE,orange  city of,2020,2021-01-01,2021-12-31,28663,28663,0,0
